language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=0.84 s (202.5 files/s 29786.8 lines/s)"
PHP,.\backend\database\migrations\2026_02_06_181546_create_jobs_table.php,3,6,26
PHP,.\backend\app\Models\Mongo\JobView.php,9,5,25
PHP,.\backend\database\migrations\0001_01_01_000001_create_cache_table.php,4,6,25
PHP,.\backend\database\seeders\CompanySeeder.php,5,1,25
YAML,.\Dockerfile.yml,8,8,24
PHP,.\backend\app\Jobs\SendResumeDownloadedEmail.php,6,6,24
PHP,.\backend\database\migrations\2026_02_03_210457_create_personal_access_tokens_table.php,3,6,24
PHP,.\backend\database\migrations\2026_02_04_221345_create_companies_table.php,3,6,24
PHP,.\backend\database\migrations\2026_02_09_171710_add_fields_to_jobs_table.php,3,0,24
PHP,.\backend\database\seeders\UserSeeder.php,8,4,24
PHP,.\backend\app\Models\Application.php,6,0,23
PHP,.\backend\config\services.php,8,11,23
PHP,.\backend\config\session.php,34,160,23
PHP,.\backend\database\migrations\2026_02_10_153605_create_applications_table.php,4,6,23
JSON,.\frontend\tsconfig.json,2,0,23
PHP,.\backend\config\app.php,22,82,22
Markdown,.\frontend\README.md,8,0,22
TypeScript,.\frontend\src\hooks\useCompanies.ts,4,1,22
TypeScript,.\frontend\src\hooks\useCompanyPage.ts,5,1,22
TypeScript,.\frontend\src\hooks\useEmployerCompany.ts,4,1,22
TypeScript,.\frontend\src\pages\Company\CompaniesList.tsx,4,1,22
HTML,.\frontend\index.html,0,1,21
TypeScript,.\frontend\vite.config.ts,1,0,21
PHP,.\backend\database\factories\UserFactory.php,5,3,20
PHP,.\backend\database\migrations\2026_02_03_210106_create_password_resets_table.php,3,6,20
PHP,.\backend\database\migrations\2026_02_04_183305_add_role_to_users_table.php,3,7,20
PHP,.\backend\database\migrations\2026_02_09_182247_add_experience_level_to_jobs_table.php,3,0,20
PHP,.\backend\app\Providers\AppServiceProvider.php,5,6,19
PHP,.\backend\bootstrap\app.php,2,1,19
PHP,.\backend\database\migrations\2026_02_06_183237_create_job_skill_table.php,3,6,19
PHP,.\backend\database\migrations\2026_02_06_213308_add_categories_to_jobs_table.php,4,3,19
PHP,.\backend\database\migrations\2026_02_09_165552_add_timestamps_to_skills_table.php,3,0,19
PHP,.\backend\database\migrations\2026_02_12_230536_add_timestamps_to_categories_table.php,3,6,19
TypeScript,.\frontend\src\pages\Jobs\JobCardSkeleton.tsx,2,1,19
PHP,.\backend\database\migrations\2026_02_06_181644_create_categories_table.php,4,6,18
PHP,.\backend\database\migrations\2026_02_06_181657_create_skills_table.php,3,6,18
PHP,.\backend\database\migrations\2026_02_09_164900_create_job_listings_table.php,3,6,18
JavaScript,.\frontend\.eslintrc.cjs,0,0,18
TypeScript,.\frontend\src\hooks\useCompany.ts,4,0,18
PHP,.\backend\app\Models\Mongo\ActivityLog.php,4,0,17
PHP,.\backend\config\sanctum.php,13,54,17
PHP,.\backend\database\migrations\2026_02_06_201317_add_categories_to_jobs_table.php,3,8,17
JSON,.\backend\package.json,0,0,17
JavaScript,.\backend\vite.config.js,1,0,17
JSON,.\package.json,0,0,17
Markdown,.\HELP.md,4,0,16
TypeScript,.\frontend\src\main.tsx,1,0,16
TypeScript,.\frontend\src\pages\Jobs\EmployerJobs.tsx,2,1,16
PHP,.\backend\app\Http\Middleware\RoleMiddleware.php,4,5,15
TypeScript,.\frontend\src\pages\Company\CompanyPage.tsx,4,0,15
INI,.\backend\.editorconfig,4,0,14
PHP,.\backend\app\Models\Mongo\ApplicationLog.php,4,0,14
PHP,.\backend\database\seeders\CategorySeeder.php,3,0,14
PHP,.\backend\database\seeders\DatabaseSeeder.php,3,0,14
PHP,.\backend\database\seeders\SkillSeeder.php,3,0,14
TypeScript,.\frontend\src\pages\NotFound.tsx,2,0,14
TypeScript,.\frontend\src\hooks\useEmployerJobs.ts,4,0,13
TypeScript,.\frontend\src\services\jobService.ts,7,0,13
PHP,.\backend\app\Models\Category.php,5,0,11
PHP,.\backend\app\Models\Skill.php,4,0,11
PHP,.\backend\tests\Feature\ExampleTest.php,4,4,11
JSON,.\frontend\tsconfig.node.json,0,0,11
PHP,.\backend\tests\Unit\ExampleTest.php,3,3,10
Text,.\zzzzzz.txt,2,0,10
PHP,.\backend\artisan,6,3,9
TypeScript,.\frontend\src\hooks\useDebounce.ts,3,0,9
CSS,.\frontend\src\index.css,1,0,9
TypeScript,.\frontend\src\useAuthRefresh.ts,2,0,8
CSS,.\backend\resources\css\app.css,2,2,7
TypeScript,.\frontend\src\hooks\companyService.ts,1,1,7
TypeScript,.\frontend\src\services\companyService.ts,4,0,7
PHP,.\backend\routes\console.php,2,0,6
PHP,.\backend\tests\TestCase.php,3,1,6
PHP,.\backend\app\Http\Controllers\Controller.php,2,1,5
PHP,.\backend\bootstrap\providers.php,1,0,5
PHP,.\backend\routes\web.php,2,0,5
Text,.\ES.txt,2,0,4
JavaScript,.\backend\resources\js\bootstrap.js,1,0,3
JavaScript,.\backend\resources\js\app.js,0,0,1
SVG,.\frontend\src\assets\react.svg,0,0,1
TypeScript,.\frontend\src\vite-env.d.ts,0,1,0
SUM,,2477,1541,20992
files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.06  T=0.84 s (202.5 files/s 29786.8 lines/s)"
15,CSS,1029,153,6570
46,TypeScript,528,56,5314
8,JSON,2,0,4877
83,PHP,812,1318,3463
2,Blade,21,5,449
3,Markdown,32,0,77
3,Text,37,0,74
2,YAML,10,8,58
4,JavaScript,2,0,39
1,XML,0,0,35
1,HTML,0,1,21
1,INI,4,0,14
1,SVG,0,0,1
SUM,,2477,1541,20992
